"subject","media","auc","missingDay"
"R_27KaNXyJeeMtBof","netflix",9072.10708460241,14
"R_27dlfVvs09BLIps","facebook",8911.69112371028,3
"R_27dlfVvs09BLIps","instagram",8874.58170058289,3
"R_27dlfVvs09BLIps","netflix",2034.22533349076,3
"R_28Hisn2OZe0axda","facebook",2748.81165714068,90
"R_28Hisn2OZe0axda","instagram",7853.82604701077,3
"R_28Hisn2OZe0axda","netflix",6836.67642970849,14
"R_2ASkfzdWUkAHgEN","facebook",8458.40925378995,30
"R_2ASkfzdWUkAHgEN","instagram",8450.60483459871,1
"R_2ASkfzdWUkAHgEN","netflix",8532.52004505576,14
"R_2Clc4mFwYQsjiY9","facebook",7216.73167561115,30
"R_2Clc4mFwYQsjiY9","instagram",8885.21770228851,3
"R_2Clc4mFwYQsjiY9","netflix",3885.72998614928,1
"R_2D0OxgKiPUTgP1y","facebook",2799.32341096212,90
"R_2D0OxgKiPUTgP1y","instagram",7901.70051692116,14
"R_2D0OxgKiPUTgP1y","netflix",4488.26351257005,14
"R_2E5ZbAst7B35xSg","facebook",6295.69938101458,30
"R_2E5ZbAst7B35xSg","instagram",13.6478473834997,1
"R_2E5ZbAst7B35xSg","netflix",626.898389800451,90
"R_2Ec1env2iD84eom","instagram",1.74642826757979,14
"R_2Pz2rMnDUGPsmos","facebook",8672.40190056717,3
"R_2Pz2rMnDUGPsmos","instagram",11717.5757787738,30
"R_2Pz2rMnDUGPsmos","netflix",10100.9122283403,1
"R_2PzCcEaNVdD9Qvx","facebook",778.202432366197,90
"R_2PzCcEaNVdD9Qvx","instagram",36.871781183188,14
"R_2PzCcEaNVdD9Qvx","netflix",-3230.96820977806,30
"R_2QQFwOBnly4XEzk","facebook",2897.9462122686,90
"R_2QQFwOBnly4XEzk","instagram",2346.26507227748,90
"R_2QQFwOBnly4XEzk","netflix",-2942.00667869023,30
"R_2QS62yyewEUckb4","facebook",2570.75820626151,1
"R_2QS62yyewEUckb4","instagram",298.260491874341,90
"R_2QS62yyewEUckb4","netflix",336.606413788078,3
"R_2SIWhjlZFGnCUkO","facebook",-5.74741604733378,90
"R_2SIWhjlZFGnCUkO","instagram",83.625235167805,90
"R_2SIWhjlZFGnCUkO","netflix",670.442413391711,30
"R_2Sdg38ihEKbUGlj","facebook",8847.48824485051,7
"R_2Sdg38ihEKbUGlj","instagram",7864.25558540996,30
"R_2Sdg38ihEKbUGlj","netflix",7024.75578998368,3
"R_2SiwszTKJSAItEu","facebook",508.790686788904,3
"R_2SiwszTKJSAItEu","instagram",631.509647525766,14
"R_2SiwszTKJSAItEu","netflix",685.720098089718,30
"R_2SphmEmdPd3zrMo","facebook",70.0044727708441,1
"R_2SphmEmdPd3zrMo","instagram",-4263.73621729498,30
"R_2SphmEmdPd3zrMo","netflix",-112.402370873606,3
"R_2SrbJ9ycdSFervJ","facebook",4081.11894174659,14
